label.value,abstract.value,words_string
Pâteçassaïé,"Pâteçassaïé was a brand of fluoride-free, herbal toothpaste produced in Bangui, Central African Republic, from 1923 until the factory's closure in 1966. The toothpaste was notable for being one of the first locally manufactured toothpastes in what was the French colony of Ubangi-Shari, and the formula was loosely based on dentifrice brands in Europe, whilst using a mixture of salt and local herbs.",Drug_delivery_devices
Quantum optical coherence tomography,"Quantum optical coherence tomography (Q-OCT) is an imaging technique that uses nonclassical(quantum) light sources to generate high-resolution images based on the Hong-Ou-Mandel effect (HOM). Q-OCT is similar to conventional OCT but uses a fourth-order interferometer that incorporates two photodetectors rather than a second-order interferometer with a single photodetector. The primary advantage of Q-OCT over OCT is insensitivity to even-order dispersion in multi-layered and scattering media. Several quantum sources of light have been developed so far. An example of such nonclassical sources is spontaneous parametric down-conversion that generates entangled photon pairs (twin-photon). The entangled photons are emitted in pairs and have stronger-than-classical temporal and spatial correlations. The entangled photons are anti-correlated in frequencies and directions. However, the nonclassical light sources are expensive and limited, several quantum-mimetic light sources are developed by classical light and nonlinear optics, which mimic dispersion cancellation and unique additional benefits.",Tomography
Barium sulfate suspension,"Barium sulfate suspension, often simply called barium, is a contrast agent used during X-rays. Specifically it is used to improve visualization of the gastrointestinal tract (esophagus, stomach, intestines) on plain X-ray or computed tomography. It is taken by mouth or used rectally. Side effects include constipation, diarrhea, appendicitis, and if inhaled inflammation of the lungs. It is not recommended in people with intestinal perforation or bowel obstruction. Allergic reactions are rare. The use of barium during pregnancy is safe for the baby; however, X-rays may result in harm. Barium sulfate suspension is typically made by mixing barium sulfate powder with water. It is a non-iodinated contrast media. Barium sulfate has been known since the Middle Ages. In the United States it had come into common medical use by 1910. It is on the World Health Organization's List of Essential Medicines. Some versions contain flavors to try to make it taste better.",Radiocontrast_agents
CUBRIC,"The Cardiff University Brain Research Imaging Centre (CUBRIC) is a brain imaging centre, part of Cardiff University's Science and Innovation Campus in Cardiff, Wales, United Kingdom. When it expanded in 2016, it was considered the most advanced brain imaging centre in Europe.",Neuroimaging
Signal enhancement by extravascular water protons,"Signal enhancement by extravascular water protons, or SEEP, is a contrast mechanism for functional magnetic resonance imaging (fMRI), which is an alternative to the more commonly employed BOLD (blood-oxygen-level dependent) contrast. This mechanism for image contrast changes corresponding to changes in neuronal activity was first proposed by Dr. Patrick Stroman in 2001. SEEP contrast is based on changes in tissue water content which arise from the increased pro uction of extracellular fluid and swelling of neurons and glial cells at sites of neuronal activity. Because the dominant sources of MRI signal in biological tissues are water and lipids, an increase in tissue water content is reflected by a local increase in MR signal intensity. A correspondence between BOLD and SEEP signal changes, and sites of activity, has been observed in the brain and appears to arise from the common dependence on changes in local blood flow to cause a change in blood oxygenation or to produce extracellular fluid. The advantage of SEEP contrast is that it can be detected with MR imaging methods which are relatively insensitive to magnetic susceptibility differences between air, tissues, blood, and bone. Such susceptibility differences can give rise to spatial image distortions and areas of low signal, and magnetic susceptibility changes in blood give rise to the BOLD contrast for fMRI. The primary application of SEEP to date has been fMRI of the spinal cord (spinal fMRI) because the bone/tissue interfaces around the spinal cord cause poor image quality with conventional fMRI methods. The disadvantages of SEEP compared to BOLD contrast are that it reveals more localized areas of activity, and in the brain the signal intensity changes are typically lower, and it can therefore be more difficult to detect.",Neuroimaging
Henry M. Eichner,"Henry M. Eichner (1909–1971) was an American medical artist, illustrator and writer. He did covers and illustrations for the Los Angeles Science Fantasy Society's magazine Shangri L'Affaires. His nonfiction book on Atlantis, Atlantean Chronicles, was published by Fantasy Publishing Company, Inc. in 1971.",Medical_illustrators
David Bolinsky,"David Bolinsky (born May 2, 1952) is a former lead medical illustrator at Yale. He is a co-founder of XVIVO, which produced the movie The Inner Life of the Cell. After earning a Bachelor of Science in Medical Illustration at Ohio State University and completing two years of medical school at Michigan State University, he launched his first illustration company, Advanced Imaging Inc., in 1983. His father was a sculptor and art historian who taught at University at Buffalo, The State University of New York. He was inspired by the works of Frank Netter. Bolinsky also designed and served as one of the narrators for an Internet video entitled Flu Attack! How A Virus Invades Your Body.",Medical_illustrators
Linear no-threshold model,"The linear no-threshold model (LNT) is a dose-response model used in radiation protection to estimate stochastic health effects such as radiation-induced cancer, genetic mutations and teratogenic effects on the human body due to exposure to ionizing radiation.",Nuclear_medicine
Mobility scooter,"A mobility scooter is an electric vehicle and mobility aid equivalent or auxiliary to a wheelchair but configured like a motorscooter. When motorized they are commonly referred to as a power-operated vehicle/scooter or electric scooter as well. Non-motorized mobility scooters are less common, but are intended for the estimated 60% of wheelchair users who have at least some use of their legs.",Mobility_devices
Willem Einthoven,"Willem Einthoven (21 May 1860 – 29 September 1927) was a Dutch Doctor and physiologist. He invented the first practical electrocardiograph (ECG or EKG) in 1895 and received the Nobel Prize in Physiology or Medicine in 1924 for it (""for the discovery of the mechanism of the electrocardiogram"").",Electrophysiologists
Steeple sign,"In radiology, the steeple sign is a radiologic sign found on a frontal neck radiograph where subglottic tracheal narrowing produces the shape of a church steeple within the trachea itself. The presence of the steeple sign supports a diagnosis of croup, usually caused by paramyxoviruses. it can also be defined as the replacement of the usual squared-shoulder appearance of the subglottic area by cone shaped narrowing just distal to the vocal cords. This is called the steeple or pencil-point sign.","Radiologic_signs,Respiratory_system_imaging"
Endoexoenteric,Endoexoenteric refers to a specific radiographic manifestation of lymphoma of the bowel.,Radiologic_signs
Mitra personal mover,"The Mitra personal mover is an Indian battery-operated mobility device. The vehicle is capable of carrying a single person and aimed to be useful particularly in airport corridors, institutional campuses and in speciality buildings such as hospitals where low noise pollution is required. The vehicle is twin motor based and works on unique hybrid steering mechanism developed by inventors Rishabh Sinha and Subhav Sinha. Subhav Sinha, one of inventors, was selected as the 'International Climate Champion' for year 2010, a program run by British Council. The creation has been covered by CII (Confederation of Indian Industries) in Journal of Small Business and Enterprise as ""Mitra shows path of Innovation"". The Economic Times has featured their exhibition at The Auto Expo with the article 'Personalised mover' draws eyes at Auto Expo' Entrepreneur India magazine has also featured the Mitra in its start-up section in the article 'Mobility Gets Personal'. Techpedia, a portal of technology projects by students, an initiative of SRISTI (Society for Research and Initiatives for Sustainable Technologies and Institutions) has featured this vehicle in a list of its top-ranking projects. The vehicle has been covered by leading daily locals like The Hindu, and Deccan Chronicle. Mitra was used at the Commonwealth Games 2010 held at New Delhi. It was also featured in the CII- I3 National Fair Exhibition, organised jointly by CII, Agilent Technologies and DST (Department of Science and Technology). Mitra was displayed at the 10th Auto Expo held at Pragati Maidan in New Delhi, India.",Mobility_devices
Ethylene vinyl alcohol,"Ethylene vinyl alcohol (EVOH) is a formal copolymer of ethylene and vinyl alcohol. Because the latter monomer mainly exists as its tautomer acetaldehyde, the copolymer is prepared by polymerization of ethylene and vinyl acetate to give the ethylene vinyl acetate (EVA) copolymer followed by hydrolysis. EVOH copolymer is defined by the mole % ethylene content: lower ethylene content grades have higher barrier properties; higher ethylene content grades have lower temperatures for extrusion. The plastic resin is commonly used as an oxygen barrier in food packaging. It is better than other plastics at keeping air out and flavors in, is highly transparent, weather resistant, oil and solvent resistant, flexible, moldable, recyclable, and printable. Its drawback is that it is difficult to make and therefore more expensive than other food packaging. Instead of making an entire package out of EVOH, manufacturers keep costs down by coextruding or laminating it as a thin layer between cardboard, foil, or other plastics. It is also used as a hydrocarbon barrier in plastic fuel tanks and pipes.",Interventional_radiology
Monitor unit,"A monitor unit (MU) is a measure of machine output from a clinical accelerator for radiation therapy such as a linear accelerator or an orthovoltage unit. Monitor units are measured by monitor chambers, which are ionization chambers that measure the dose delivered by a beam and are built into the treatment head of radiotherapy linear accelerators.",Radiation_therapy
Polydioxanone,"Polydioxanone (PDO, PDS) or poly-p-dioxanone is a colorless, crystalline, biodegradable synthetic polymer.",Biomaterials
QT interval,"The QT interval is a measurement made on an electrocardiogram used to assess some of the electrical properties of the heart. It is calculated as the time from the start of the Q wave to the end of the T wave, and approximates to the time taken from when the cardiac ventricles start to contract to when they finish relaxing. An abnormally long or abnormally short QT interval is associated with an increased risk of developing abnormal heart rhythms and sudden cardiac death. Abnormalities in the QT interval can be caused by genetic conditions such as long QT syndrome, by certain medications such as sotalol or pitolisant, by disturbances in the concentrations of certain salts within the blood such as hypokalaemia, or by hormonal imbalances such as hypothyroidism.",Cardiac_electrophysiology
Radiation treatment planning,"In radiotherapy, radiation treatment planning (RTP) is the process in which a team consisting of radiation oncologists, radiation therapist, medical physicists and plan the appropriate external beam radiotherapy or internal brachytherapy treatment technique for a patient with cancer.",Radiation_therapy
Society of Radiographers,"The Society of Radiographers (SoR) is a professional body and trade union that represents more than 90 percent of the diagnostic and therapeutic radiographers in the United Kingdom. The College of Radiographers (CoR) is a charitable subsidiary of the Society, they are collectively known as the Society and College of Radiographers (SCoR). It was founded in 1920 in an effort to provide standardised training and registration for Radiographers within the British Isles. Until 1996, the SoR was also the professional body and trades union for radiographers in Ireland whereupon the was established.","Radiography,Radiology_organizations"
Radiographic anatomy,Radioanatomy (x-ray anatomy) is anatomy discipline which involves the study of anatomy through the use of radiographic films. The x-ray film represents two-dimensional image of a three-dimensional object due to the summary projection of different anatomical structures onto a planar surface. It requires certain skills for the correct interpretation of such images. Radiological anatomy is a necessary component of training for radiologists as well as medical students.,Radiography
Xenon-enhanced CT scanning,"Xenon-enhanced CT scanning is a method of computed tomography (CT scanning) used for neuroimaging in which the subject inhales xenon gas while CT images are made. The method can be used to assess changes in cerebral blood flow in the period shortly after a traumatic brain injury, or to detect or indicate the location of a stroke. The diffusion of the gas into the tissues shows how much blood flow each area is getting.",X-ray_computed_tomography
Hoople (mobility aid),"A Hoople is a hoop-shaped mobility aid used by some blind and visually impaired people, and was designed to help them navigate their way over rough terrain or in a rural environment. It performs a similar role to a white cane, but is designed for use in conditions where using a white cane can be difficult, for example, in snow or on sand. It can also be used by young children as a pre-cane aid or by people with arthritis and other medical conditions which would make the use of a traditional cane difficult. The Hoople is designed to detect obstructions, much like cat's whiskers, through both tactile and audio feedback. Because the Hoople is moved along the ground rather than being moved from side to side like a cane, the user can also detect drops two paces ahead, narrow gaps or similar potential obstructions on either side of the path ahead. The Hoople was invented in the early 1990s by Clive Ellis and Tony Larkin, two lecturers at the Royal National College for the Blind in Hereford, United Kingdom. The Hoople is made to order with five different sizes available.",Mobility_devices
Gadobutrol,"Gadobutrol (INN) (Gd-DO3A-butrol) is a gadolinium-based MRI contrast agent (GBCA). It received marketing approval in Canada and the United States. As of 2007, it was the only GBCA approved at 1.0 molar concentrations. Gadobutrol is marketed by Bayer AG as Gadovist, and by Bayer HealthCare Pharmaceuticals as Gadavist. In India, it is also marketed by Vivere Imaging as Viv-butrol.",MRI_contrast_agents
Zirconium dioxide,"Zirconium dioxide (ZrO2), sometimes known as zirconia (not to be confused with zircon), is a white crystalline oxide of zirconium. Its most naturally occurring form, with a monoclinic crystalline structure, is the mineral baddeleyite. A dopant stabilized cubic structured zirconia, cubic zirconia, is synthesized in various colours for use as a gemstone and a diamond simulant.",Biomaterials
Electron paramagnetic resonance,"Electron paramagnetic resonance (EPR) or electron spin resonance (ESR) spectroscopy is a method for studying materials with unpaired electrons. The basic concepts of EPR are analogous to those of nuclear magnetic resonance (NMR), but the spins excited are those of the electrons instead of the atomic nuclei. EPR spectroscopy is particularly useful for studying metal complexes and organic radicals.EPR was first observed in Kazan State University by Soviet physicist Yevgeny Zavoisky in 1944, and was developed independently at the same time by Brebis Bleaney at the University of Oxford.",Neuroimaging
MRC Cognition and Brain Sciences Unit,"The Cognition and Brain Sciences Unit is a branch of the UK Medical Research Council, based in Cambridge, England. The CBSU is a centre for cognitive neuroscience, with a mission to improve human health by understanding and enhancing cognition and behaviour in health, disease and disorder. It is one of the largest and most long-lasting contributors to the development of psychological theory and practice. The CBSU has its own magnetic resonance imaging (MRI, 3T) scanner on-site, as well as a 306-channel magnetoencephalography (MEG) system and a 128-channel electroencephalography (EEG) laboratory. The CBSU has close links to clinical neuroscience research in the University of Cambridge Medical School. Over 140 scientists, students, and support staff work in research areas such as Memory, Attention, Emotion, Speech and Language, Development and Aging, Computational Modelling and Neuroscience Methods. With dedicated facilities available on site, the Unit has particular strengths in the application of neuroimaging techniques in the context of well-developed neuro-cognitive theory.",Neuroimaging
Marie Marguerite Bihéron,"Marie Marguerite Bihéron (17 November 1719 – 18 June 1795) (also known as Marie Catherine Bihéron) was a French anatomist, known for her medical illustrations and wax figure models.",Medical_illustrators
Intramedullary rod,"An intramedullary rod, also known as an intramedullary nail (IM nail) or inter-locking nail or Küntscher nail (without proximal or distal fixation), is a metal rod forced into the medullary cavity of a bone. IM nails have long been used to treat fractures of long bones of the body. Gerhard Küntscher is credited with the first use of this device in 1939, during World War II, for soldiers with fractures of the femur. Prior to that, treatment of such fractures was limited to traction or plaster, both of which required long periods of inactivity. IM nails resulted in earlier return to activity for the soldiers, sometimes even within a span of a few weeks, since they share the load with the bone, rather than entirely supporting the bone.",Orthopedic_implants
American Radium Society,"The American Radium Society is a medical association devoted to the study and treatment of cancer. It was founded in 1916. The Society's original mission was to further ""the scientific study of radium in relation to its physical properties and therapeutic applications"" distinguishing it from the American Roentgen Ray Society (ARRS). The society's mission was expanded in 1950 to include ""the treatment of neoplastic and allied diseases and the study and application of ionizing radiation."" In the ensuing years its focus became increasingly multidisciplinary. In 1933, The ARS founded the annual Janeway Lecture in honor of Henry Harrington Janeway, a pioneer in radium therapy. The first Janeway Lecture, ""Early Experience in Radium Therapy"", was given by the pathologist James Ewing. The lecture is delivered at the society's annual general meeting with the lecturer chosen for their ""outstanding scientific contributions"". The 2014 Janeway Lecturer was Murray F. Brennan of the Memorial Sloan Kettering Cancer Center. Since 1937 each Janeway Lecturer is presented with the Janeway Medal.",Radiology_organizations
Radiation and Nuclear Safety Authority,"The Radiation and Nuclear Safety Authority (Finnish: Säteilyturvakeskus, Swedish: Strålsäkerhetscentralen), often abbreviated as STUK, is a government agency tasked with nuclear safety and radiation monitoring in Finland. The agency is a division of the Ministry of Social Affairs and Health; when founded in 1958 STUK was first charged with inspection of radiation equipment used in hospitals. The agency is also a scientific research and education organization, researching the nature, effects and damaging effects of radiation. The agency currently employs about 320 people, and is led by Petteri Tiippana. The agency works in collaboration with EU and other nearby countries, as part of the (ENSREG), and with the UN organization International Atomic Energy Agency (IAEA) along with the International Commission on Radiological Protection (ICRP).",Radiology_organizations
Biomimetic material,"Biomimetic materials are materials developed using inspiration from nature. This may be useful in the design of composite materials. Natural structures have inspired and innovated human creations. Notable examples of these natural structures include: honeycomb structure of the beehive, strength of spider silks, bird flight mechanics, and shark skin water repellency. The etymological roots of the neologism (new term) biomimetic derive from Greek, since bios means ""life"" and mimetikos means ""imitative"",",Biomaterials
Terry Thomas sign,"In radiology, the Terry Thomas sign is a scapholunate ligament dissociation on an anteroposterior view of the wrist. Most commonly a result of a fall on the outstretched hand (FOOSH), the scapholunate ligament ruptures resulting in separation of the lunate and scaphoid bones. This burst causes the scaphoid bone to dorsally rotate. A gap of more than 3mm is pathognomonic for scapholunate dissociation. The resulting separation between the scaphoid and lunate bones leaves a space on the x-ray that is similar to the gap comedian Terry-Thomas had between his front teeth. For newer radiology students who do not know who Terry-Thomas was, this finding might also be known as the David Letterman sign.",Radiologic_signs
Air crescent sign,"In radiology, the air crescent sign is a finding on chest radiograph and computed tomography that is crescenteric and radiolucent, due to a lung cavity that is filled with air and has a round radiopaque mass. Classically, it is due to an aspergilloma, a form of aspergillosis, that occurs when the fungus Aspergillus grows in a cavity in the lung.It is also referred as Monad sign.",Radiologic_signs
Florbetapir (18F),"Florbetapir (18F), sold under the brand name Amyvid, is a PET scanning radiopharmaceutical compound containing the radionuclide fluorine-18 that was approved for use in the United States in 2012, as a diagnostic tool for Alzheimer's disease. Florbetapir, like Pittsburgh compound B (PiB), binds to beta-amyloid, however fluorine-18 has a half-life of 109.75 minutes, in contrast to PiB's radioactive half life of 20 minutes. Wong et al. found that the longer life allowed the tracer to accumulate significantly more in the brains of people with AD, particularly in the regions known to be associated with beta-amyloid deposits. One review predicted that amyloid imaging is likely to be used in conjunction with other markers rather than as an alternative.",Radiocontrast_agents
Kerley lines,Kerley lines are a sign seen on chest radiographs with interstitial pulmonary edema. They are thin linear pulmonary opacities caused by fluid or cellular infiltration into the interstitium of the lungs. They are named after Irish neurologist and radiologist Peter Kerley.,Radiologic_signs
Electron beam computed tomography,"Electron beam computed tomography (EBCT) is a specific form of computed tomography (CT) in which the X-ray tube is not mechanically spun in order to rotate the source of X-ray photons. This different design was explicitly developed to better image heart structures which never stop moving, performing a complete cycle of movement with each heart beat. As in conventional CT technology, the X-ray source-point moves along a circle in space around an object to be imaged. In EBT, however, the X-ray tube itself is large and stationary, and partially surrounds the imaging circle. Rather than moving the tube itself, electron-beam focal point (and hence the X-ray source point) is swept electronically along a tungsten anode in the tube, tracing a large circular arc on its inner surface. This motion can be very fast.",X-ray_computed_tomography
Manel Muñoz,"Manel Muñoz (born 10 October 1996 in Barcelona), known artistically as Manel De Aguas, is a Spanish cyborg artist and transpecies activist based in Barcelona, best known for developing and installing weather sensory fins in his head. The fins, formally known as 'Weather Fins', allow him to hear atmospheric pressure, humidity and temperature changes through implants at each side of his head. Depending on the changes he feels, he can predict weather changes as well as sense his current altitude. De Aguas studied contemporary photography in Barcelona and became Cyborg Foundation's artist in residence in 2016. In 2017, he co-founded the Transpecies Society, an association that gives voice to people who do not identify as being 100% human and raises awareness on issues they face. The association, based in Barcelona, offers workshops specialized in the design and creation of new senses and organs. De Aguas has shared his experience as a cyborg artist by performing and speaking in conferences and festivals in Germany, UK, Romania, Spain and The Netherlands among others. He also talks about it extensively in the Shaping Business Minds Through Art podcast.",Cyborgs
Maria Torrence Wishart,"Maria Torrence Wishart (September 6, 1893 – December 30, 1982) was a Canadian medical illustrator and the founder of the University of Toronto's Art as Applied to Medicine program. She was educated at Johns Hopkins School of Medicine under Max Brödel, and in 1925 returned to Canada to found the Department of Medical Art Service in the Faculty of Medicine.",Medical_illustrators
Polyethylene terephthalate,"Polyethylene terephthalate (sometimes written poly(ethylene terephthalate)), commonly abbreviated PET, PETE, or the obsolete PETP or PET-P, is the most common thermoplastic polymer resin of the polyester family and is used in fibres for clothing, containers for liquids and foods, and thermoforming for manufacturing, and in combination with glass fibre for engineering resins. It may also be referred to by the brand names Terylene in the UK, Lavsan in Russia and the former Soviet Union, and Dacron in the US. Bio-PET is the bio-based counterpart of PET. The majority of the world's PET production is for synthetic fibres (in excess of 60%), with bottle production accounting for about 30% of global demand. In the context of textile applications, PET is referred to by its common name, polyester, whereas the acronym PET is generally used in relation to packaging. Polyester makes up about 18% of world polymer production and is the fourth-most-produced polymer after polyethylene (PE), polypropylene (PP) and polyvinyl chloride (PVC). PET consists of polymerized units of the monomer ethylene terephthalate, with repeating (C10H8O4) units. PET is commonly recycled, and has the number ""1"" as its resin identification code (RIC). Depending on its processing and thermal history, polyethylene terephthalate may exist both as an amorphous (transparent) and as a semi-crystalline polymer. The semicrystalline material might appear transparent (particle size less than 500 nm) or opaque and white (particle size up to a few micrometers) depending on its crystal structure and particle size. The monomer bis(2-hydroxyethyl) terephthalate can be synthesized by the esterification reaction between terephthalic acid and ethylene glycol with water as a byproduct (this is also known as a condensation reaction), or by transesterification reaction between ethylene glycol and dimethyl terephthalate (DMT) with methanol as a byproduct. Polymerization is through a polycondensation reaction of the monomers (done immediately after esterification/transesterification) with water as the byproduct.",Biomaterials
Polytetrafluoroethylene,"Polytetrafluoroethylene (PTFE) is a synthetic fluoropolymer of tetrafluoroethylene that has numerous applications. The commonly known brand name of PTFE-based compositions is Teflon™ by Chemours, a spin-off from DuPont, which originally discovered the compound in 1938. Polytetrafluoroethylene is a fluorocarbon solid (at room temperature), as it is a high molecular weight polymer consisting wholly of carbon and fluorine. PTFE is hydrophobic: neither water nor water-containing substances wet PTFE, as fluorocarbons demonstrate mitigated London dispersion forces due to the high electronegativity of fluorine. PTFE has one of the lowest coefficients of friction of any solid. Polytetrafluoroethylene is used as a non-stick coating for pans and other cookware. It is non-reactive, partly because of the strength of carbon–fluorine bonds, and so it is often used in containers and pipework for reactive and corrosive chemicals. Where used as a lubricant, PTFE reduces friction, wear, and energy consumption of machinery. It is commonly used as a graft material in surgical interventions. It is also frequently employed as coating on catheters; this interferes with the ability of bacteria and other infectious agents to adhere to catheters and cause hospital-acquired infections.",Biomaterials
Propyliodone,"Propyliodone (INN, trade name Dionosil) is a molecule used as a contrast medium. It was developed by a team at Imperial Chemical Industries in the late 1930s.",Radiocontrast_agents
Quantitative computed tomography,"Quantitative computed tomography (QCT) is a medical technique that measures bone mineral density (BMD) using a standard X-ray Computed Tomography (CT) scanner with a calibration standard to convert Hounsfield Units (HU) of the CT image to bone mineral density values. Quantitative CT scans are primarily used to evaluate bone mineral density at the lumbar spine and hip. In general, solid phantoms placed in a pad under the patient during CT image acquisition are used for calibration. These phantoms contain materials that represent a number of different equivalent bone mineral densities. Usually either calcium hydroxyapatite (CaHAP) or potassium phosphate (K2HPO4) are used as the reference standard.",X-ray_computed_tomography
Radioisotope renography,"Radioisotope renography is a form of medical imaging of the kidneys that uses radiolabelling. A renogram, which may also be known as a MAG3 scan, allows a nuclear medicine physician or a radiologist to visualize the kidneys and learn more about how they are functioning. MAG3 is an acronym for mercapto acetyl tri glycine, a compound that is chelated with a radioactive element – technetium-99m. The two most common radiolabelled pharmaceutical agents used are Tc99m-MAG3 (MAG3 is also called mercaptoacetyltriglycine or mertiatide) and Tc99m-DTPA (diethylenetriaminepentacetate). Some other radiolabelled pharmaceuticals are EC (Ethylenedicysteine) and 131-iodine labelled OIH (ortho-iodohippurate).",Urologic_imaging
Cardiac muscle,"Cardiac muscle (also called heart muscle or myocardium) is one of three types of vertebrate muscle tissue, with the other two being skeletal muscle and smooth muscle. It is involuntary, striated muscle that constitutes the main tissue of the wall of the heart. The cardiac muscle (myocardium) forms a thick middle layer between the outer layer of the heart wall (the pericardium) and the inner layer (the endocardium), with blood supplied via the coronary circulation. It is composed of individual cardiac muscle cells joined together by intercalated discs, and encased by collagen fibers and other substances that form the extracellular matrix. Cardiac muscle contracts in a similar manner to skeletal muscle, although with some important differences. Electrical stimulation in the form of a cardiac action potential triggers the release of calcium from the cell's internal calcium store, the sarcoplasmic reticulum. The rise in calcium causes the cell's myofilaments to slide past each other in a process called excitation-contraction coupling.About oxygen-15 is a radioactive isotope of oxygen,frequently used in position emission tomography-PET).imaging it can be used amongst other application,in water for PET on abort the nuclear medicine is a medical specialty involving the application of radioactive substance in the diagnosis & treatment of diseaseDiseases of the heart muscle known as cardiomyopathies are of major importance. These include ischemic conditions caused by a restricted blood supply to the muscle such as angina, and myocardial infarction.",Cardiac_electrophysiology
Cargo scanning,"Cargo scanning or non-intrusive inspection (NII) refers to non-destructive methods of inspecting and identifying goods in transportation systems. It is often used for scanning of intermodal freight shipping containers. In the US it is spearheaded by the Department of Homeland Security and its Container Security Initiative (CSI) trying to achieve one hundred percent cargo scanning by 2012 as required by the US Congress and recommended by the 9/11 Commission. In the US the main purpose of scanning is to detect special nuclear materials (SNMs), with the added bonus of detecting other types of suspicious cargo. In other countries the emphasis is on manifest verification, tariff collection and the identification of contraband. In February 2009, approximately 80% of US incoming containers were scanned. To bring that number to 100% researchers are evaluating numerous technologies, described in the following sections.",Radiography
Horatio Burt Williams,"Horatio Burt Williams (September 17, 1877 to November 1, 1955) was an American clinical electrophysiologist.",Electrophysiologists
Vanderbilt exoskeleton,"The Vanderbilt exoskeleton, marketed as Indego, is a powered exoskeleton designed by the Center for Intelligent Mechatronics at Vanderbilt University in the U.S. state of Tennessee. It is intended to assist paraplegics, stroke victims and other paralyzed or semi-paralyzed people to walk independently. Motion and control technologies manufacturer Parker Hannifin is funding further development, and plans to release the first commercial version of the exoskeleton in 2015.",Mobility_devices
Sail sign of the chest,"On a chest X-ray, the sail sign is a radiologic sign that suggests left lower lobe collapse. In children, however, a sail sign could be normal, reflecting the shadow of the thymus. The thymic sail sign or spinnaker-sail sign is due to elevation of the thymic lobes in the setting of pneumomediastinum.","Radiologic_signs,Respiratory_system_imaging"
Nan Lawson Cheney,"Nan Lawson Cheney (1897–1985) was a Canadian painter and medical artist. Cheney was born in Windsor, Nova Scotia. She studied at Boston School of Fine Arts and Montreal Museum of Fine Arts. She studied medical illustration at Johns Hopkins University, and worked as a medical artist at McGill University. In 1924, she married Hill Cheney. In 1937, the couple moved to Vancouver, and Nan Cheney became the University of British Columbia's first medical artist. She held this position until 1962. Cheney worked with Group of Seven members Lawren Harris and Jock Macdonald, accompanying them on sketching trips. She also worked closely with her friend Emily Carr. Cheney died in Vancouver in 1985. Her work is included in the collections of the National Gallery of Canada (which holds Cheney's portrait of Carr) and the Art Gallery of Greater Victoria.",Medical_illustrators
Biocompatibility,"Biocompatibility is related to the behavior of biomaterials in various contexts. The term refers to the ability of a material to perform with an appropriate host response in a specific situation. The ambiguity of the term reflects the ongoing development of insights into how biomaterials interact with the human body and eventually how those interactions determine the clinical success of a medical device (such as pacemaker, hip replacement or stent). Modern medical devices and prostheses are often made of more than one material so it might not always be sufficient to talk about the biocompatibility of a specific material. Since the immune response and repair functions in the body are so complicated it is not adequate to describe the biocompatibility of a single material in relation to a single cell type or tissue. Sometimes one hears of biocompatibility testing that is a large battery of in vitro test that is used in accordance with ISO 10993 (or other similar standards) to determine if a certain material (or rather biomedical product) is biocompatible. These tests do not determine the biocompatibility of a material, but they constitute an important step towards the animal testing and finally clinical trials that will determine the biocompatibility of the material in a given application, and thus medical devices such as implants or drug delivery devices. IUPAC definitionBiocompatibility (biomedical therapy): Ability of a material to perform with an appropriate host response in a specific application.Biocompatibility: Ability to be in contact with a living system without producing an adverse effect.",Biomaterials
Indiana University Health Proton Therapy Center,"The Indiana University Health Proton Therapy Center, formerly known as the Midwest Proton Radiotherapy Institute (MPRI), was the first proton facility in the Midwest. The center was located on the Indiana University campus in Bloomington, Indiana, United States. The IU Health Proton Therapy Center was the only proton therapy center in the U.S. to use a uniform-scanning beam for dose delivery, which decreases undesirable neutron dose to patients. The Center opened in 2004, and ceased operations in 2014.",Radiology_organizations
Iobitridol,"Iobitridol (trade name Xenetix) is a pharmaceutical drug used as a radiocontrast agent in X-ray imaging. It is injected into blood vessels, joints, or body cavities such as the uterus, and filtered out by the kidneys. Its most common adverse effect is nausea. Severe allergic reactions are rare. The drug received its first marketing approval in 1994 in France and is approved for use in many European countries including the UK, but not in the US. It is manufactured by Guerbet.",Radiocontrast_agents
Iodamide,Iodamide (trade name Renovue) is a pharmaceutical drug used as an iodinated contrast medium for X-ray imaging. Its uses include imaging of the uterus and Fallopian tubes.,Radiocontrast_agents
Backscatter X-ray,"Backscatter X-ray is an advanced X-ray imaging technology. Traditional X-ray machines detect hard and soft materials by the variation in x-ray intensity transmitted through the target. In contrast, backscatter X-ray detects the radiation that reflects from the target. It has potential applications where less-destructive examination is required, and can operate even if only one side of the target is available for examination. The technology is one of two types of whole-body imaging technologies that have been used to perform full-body scans of airline passengers to detect hidden weapons, tools, liquids, narcotics, currency, and other contraband. A competing technology is millimeter wave scanner. One can refer to an airport security machine of this type as a ""body scanner"", ""whole body imager (WBI)"", ""security scanner"" or ""naked scanner"".",Radiography
Nicotine nasal spray,"A nicotine nasal spray is a nasal spray that contains a small dose of nicotine, which enters the blood by being absorbed through the lining of the nose. This helps stop nicotine cravings and relieves symptoms that occur when a person is trying to quit smoking. A prescription is needed for nicotine nasal spray in many countries. In the United Kingdom, it can be purchased in a pharmacy as an Over-the-counter drug.",Nasal_sprays
